Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Samoa Americana;ASM;Área selvática (% del área de tierra);AG.LND.FRST.ZS;90.35;90.18;90.01;89.84;89.67;89.5;89.33;89.16;88.99;88.82;88.65;88.5;88.35;88.2;88.05;87.9;87.75;87.6;87.45;87.3;87.15;87;86.85;86.7;86.55;86.4;86.25;86.1;85.95;85.8;85.65;85.5;85.35
Antigua y Barbuda;ATG;Área selvática (% del área de tierra);AG.LND.FRST.ZS;22.97727273;22.82727273;22.67727273;22.52727273;22.37727273;22.22727273;22.07727273;21.92727273;21.77727273;21.62727273;21.47727273;21.325;21.17272727;21.02045455;20.86818182;20.71590909;20.56363636;20.41136364;20.25909091;20.10681818;19.95454545;19.80454545;19.65454545;19.50454545;19.35454545;19.20454545;19.04545455;18.90909091;18.75;18.59090909;18.45454545;18.30295455;18.16159091
Australia;AUS;Área selvática (% del área de tierra);AG.LND.FRST.ZS;17.42735899;17.40043867;17.37351835;17.34659802;17.3196777;17.29275738;17.26583705;17.23891673;17.21199641;17.18507608;17.15815576;17.12863335;17.09911094;17.06958853;17.04006613;17.01054372;16.98102131;16.9514989;16.92197649;16.89245408;16.86293167;16.95531026;17.04768884;17.14006743;17.23244601;17.3248246;17.42548771;17.42291362;17.42131456;17.42131456;17.42131456;17.42131456;17.42131456
Austria;AUT;Área selvática (% del área de tierra);AG.LND.FRST.ZS;45.75460494;45.8303078;45.90601066;45.98171352;46.05741638;46.13311924;46.2088221;46.28452496;46.36022782;46.43593068;46.51163354;46.54200194;46.57237033;46.60273873;46.63310713;46.66347552;46.69384392;46.72421231;46.75458071;46.7849491;46.8153175;46.85891905;46.9025206;46.94612215;46.9897237;47.03332525;47.07695104;47.12045565;47.16396025;47.10373243;47.13790596;47.1720795;47.20613185
Azerbaiyán;AZE;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;11.45482293;11.50587019;11.55691746;11.60796472;11.65901198;11.71005924;11.7787994;11.885279;11.95109255;12.00604692;12.05881164;12.10862895;12.16046303;12.21700097;12.27518908;12.33116944;12.38626236;12.44180848;12.49146583;12.60099567;12.71082654;12.82050351;12.92970858;13.03953401;13.15441152;13.27314606;13.41393036;13.55336705;13.69418968;13.83299093;13.97248155
Burundi;BDI;Área selvática (% del área de tierra);AG.LND.FRST.ZS;10.76635514;10.44493769;10.12352025;9.802102804;9.480685358;9.159267913;8.837850467;8.516433022;8.195015576;7.873598131;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;7.552180685;8.219626168;8.887071651;9.554517134;10.22196262;10.8894081;10.8894081;10.8894081;10.8894081;10.8894081;10.8894081;10.8894081;10.8894081
Bélgica;BEL;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;;;;;;;;;21.99914285;22.07355026;22.14795767;22.22236508;22.29677249;22.3711799;22.44558731;22.51999473;22.59440214;22.66880955;22.74321696;22.73945868;22.73570039;22.73194211;22.72818383;22.72442554;22.72442554;22.72442554;22.60518808;22.60444678;22.60444678;22.60444678;22.60444678
Benin;BEN;Área selvática (% del área de tierra);AG.LND.FRST.ZS;42.88001064;42.25922313;41.63843562;41.0176481;40.39686059;39.77607308;39.15528556;38.53449805;37.91371054;37.29292302;36.67213551;36.22871586;35.7852962;35.34187655;34.8984569;34.45503725;34.01161759;33.56819794;33.12477829;32.68135864;32.23793899;31.79451933;31.35109968;30.90768003;30.46426038;30.02084072;29.57742107;29.13400142;28.69058177;28.24716211;27.80374246;27.36032281;26.91690316
Burkina Faso;BFA;Área selvática (% del área de tierra);AG.LND.FRST.ZS;28.20394737;28.02116228;27.83837719;27.65559211;27.47280702;27.29002193;27.10723684;26.92445175;26.74166667;26.55888158;26.37609649;26.19334795;26.01059942;25.82785088;25.64510234;25.4623538;25.27960526;25.09685673;24.91410819;24.73135965;24.54861111;24.36578947;24.18296784;24.0001462;23.81732456;23.63450292;23.45175439;23.26900585;23.08625731;22.90350877;22.72076023;22.5380117;22.35526316
Bangladesh;BGD;Área selvática (% del área de tierra);AG.LND.FRST.ZS;14.75247753;14.75247599;14.75247446;14.75247292;14.75247138;14.75246985;14.75246908;14.75246754;14.75246601;14.75246447;14.75246293;14.72789045;14.70331797;14.67874549;14.654173;14.62960052;14.60502804;14.58045556;14.55588308;14.53130983;14.50673734;14.4991442;14.49155105;14.4839579;14.47636475;14.46877161;14.46877161;14.46877161;14.46877161;14.46877161;14.46877161;14.46877161;14.46877161
